City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mar del plata,-38.0023,-57.5575,27.19,49,0,6.69,AR,1681071495
84,south yuba city,39.1166,-121.6391,24.47,44,0,3.6,US,1681071496
85,havoysund,70.9963,24.6622,3.13,85,100,8.65,NO,1681071496
86,oktyabrskiy,54.4815,53.471,5.35,44,97,1.43,RU,1681071496
87,albertville,34.2676,-86.2089,18.14,63,40,1.54,US,1681071275
88,luderitz,-26.6481,15.1594,14.73,56,2,10.19,NA,1681071496
89,jiehu,35.5428,118.455,11.63,76,55,2.92,CN,1681071497
90,lich,50.5209,8.8157,10.09,75,9,1.78,DE,1681071497
91,puerto leguizamo,-0.1934,-74.7819,27.25,76,79,0.73,CO,1681071497
92,talnakh,69.4865,88.3972,-28.52,96,47,1.57,RU,1681071235
93,hermanus,-34.4187,19.2345,16.0,72,0,7.49,ZA,1681071497
94,miri,4.4148,114.0089,25.08,94,40,0.0,MY,1681071498
95,honiara,-9.4333,159.95,25.54,83,100,1.88,SB,1681071309
96,atuona,-9.8,-139.0333,26.81,76,17,5.13,PF,1681071314
97,airai,-8.9266,125.4092,15.73,96,100,1.47,TL,1681071498
98,kununurra,-15.7667,128.7333,25.99,83,100,2.06,AU,1681071499
99,hobart,-42.8794,147.3294,10.92,69,100,8.23,AU,1681071225
100,maragogi,-9.0122,-35.2225,26.77,79,89,3.73,BR,1681071499
101,banjar,-8.19,114.9675,25.04,88,97,2.92,ID,1681071499
102,taikang,46.8333,124.4167,10.91,50,100,6.93,CN,1681071499
103,tuktoyaktuk,69.4541,-133.0374,-14.0,78,75,8.75,CA,1681071500
104,singapore,1.2897,103.8501,26.02,93,75,1.54,SG,1681071500
105,praya,14.9215,-23.5087,22.3,64,20,8.75,CV,1681071313
106,bronnitsy,55.4194,38.2708,7.29,65,0,2.0,RU,1681071500
107,san pedro de macoris,18.4616,-69.2972,30.34,65,4,5.33,DO,1681071307
108,hami,42.8,93.45,9.68,25,60,8.83,CN,1681071501
109,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1681071312
110,qadian,31.8178,75.3919,20.3,26,0,2.93,IN,1681071501
111,upernavik,72.7868,-56.1549,-16.1,92,97,5.92,GL,1681071263
112,miraflores,19.2167,-98.8083,24.46,46,94,1.76,MX,1681071501
113,jimma,7.6667,36.8333,17.37,80,96,0.73,ET,1681071502
114,east london,-33.0153,27.9116,18.0,83,100,8.37,ZA,1681071502
115,bam,29.106,58.357,23.62,14,21,4.71,IR,1681071502
116,lloydminster,53.2835,-110.0016,7.12,57,40,3.09,CA,1681071502
117,comodoro rivadavia,-45.8667,-67.5,7.92,49,0,2.57,AR,1681071502
118,yelnya,54.5786,33.1837,9.04,63,94,1.7,RU,1681071502
119,souillac,-20.5167,57.5167,24.21,94,75,2.06,MU,1681071503
120,floro,61.5996,5.0328,6.65,81,100,5.66,NO,1681071503
121,dingle,10.9995,122.6711,23.3,91,79,2.73,PH,1681071503
122,dillon,34.4166,-79.3712,18.47,50,4,8.4,US,1681071503
123,rehli,23.6333,79.0833,26.43,35,12,1.59,IN,1681071504
124,faanui,-16.4833,-151.75,27.45,76,100,7.49,PF,1681071504
125,aklavik,68.2191,-135.0107,-12.71,84,89,3.34,CA,1681071504
126,dombas,62.0696,9.1235,-0.72,99,100,3.77,NO,1681071504
127,verkhnevilyuysk,63.4453,120.3167,-20.67,100,100,0.16,RU,1681071504
128,eldorado,-23.7869,-54.2836,24.82,78,32,2.36,BR,1681071504
129,dunedin,-45.8742,170.5036,13.93,97,100,5.15,NZ,1681071360
130,sur,22.5667,59.5289,27.44,59,100,2.08,OM,1681071505
131,portland,45.5234,-122.6762,13.49,91,100,4.63,US,1681071394
132,arraial do cabo,-22.9661,-42.0278,24.92,78,100,4.12,BR,1681071452
133,jamestown,42.097,-79.2353,14.73,32,0,2.24,US,1681071396
134,tadine,-21.55,167.8833,25.32,79,13,1.73,NC,1681071505
135,khandyga,62.6667,135.6,-26.99,100,77,1.68,RU,1681071505
